"ENSEMBL","baseMean","ful2_mbp20_sIM_vs_WT_sIM","lfcSE","stat","pvalue","padj","Symbol"
"Solyc05g009270.4",83.4490962015253,1.07117468436338,0.236316465143977,4.53279750825132,5.8207608912915e-06,0.00069165002305028,"Solyc05g009270.4"
"Solyc03g114950.2",1849.5522800427,-0.302612450512785,0.0667903664237298,-4.53077991207532,5.8766335334295e-06,0.000691701803116419,"Solyc03g114950.2"
"Solyc09g089690.3",84.0598477458493,1.27030147275261,0.280416265076149,4.5300563161258,5.89679661654524e-06,0.000691701803116419,"Solyc09g089690.3"
"Solyc08g078780.2",53.6695483594129,1.48703841545082,0.328751730037685,4.52328696576094,6.08865998025201e-06,0.000709658528526315,"Solyc08g078780.2"
"Solyc03g123390.4",102.237311344697,1.03880632866806,0.229754030813143,4.52138456501297,6.14364596836695e-06,0.000711535301108525,"Solyc03g123390.4"
"Solyc01g108513.1",568.40928347226,0.534947142599846,0.118629447615891,4.50939588231033,6.50124916258423e-06,0.00074821609073037,"Solyc01g108513.1"
"Solyc10g086030.2",1527.9000979349,0.393350086772264,0.0877614013173832,4.48203972210676,7.39329776402625e-06,0.000845562223649477,"Solyc10g086030.2"
"Solyc01g080480.4",33.8990129429472,2.21194980533573,0.494590580226072,4.47228453951685,7.73883590777045e-06,0.000879583591778208,"Solyc01g080480.4"
"Solyc01g010970.3",1635.26876834238,-0.407670631059076,0.0912882011949687,-4.46575379646701,7.97873238504733e-06,0.000901251999469019,"Solyc01g010970.3"
"Solyc02g080080.3",66.1052992711809,1.24184029157226,0.278300185723056,4.46223306802981,8.11099351291274e-06,0.000910570983391352,"Solyc02g080080.3"
"Solyc06g005590.4",455.220621549381,0.568154194885963,0.127491525676114,4.4564075288371,8.33445268193476e-06,0.00092995213187027,"Solyc06g005590.4"
"Solyc05g005920.4",273.738470998805,0.670702455038843,0.150802515606917,4.44755481922531,8.68532979477263e-06,0.000963229393421481,"Solyc05g005920.4"
"Solyc01g106000.5",1287.81216554213,0.327601149227349,0.0740478105915819,4.42418414008574,9.68074246248329e-06,0.00106715606217459,"Solyc01g106000.5"
"Solyc06g050340.3",4.62740000827452,5.82542284812795,1.31893320279411,4.4167686701548,1.0018735133065e-05,0.00109780140239495,"Solyc06g050340.3"
"Solyc04g008230.3",1327.59728657001,0.420989625727716,0.0957516265994084,4.3966838024485,1.09917286294799e-05,0.00119189842754913,"Solyc04g008230.3"
"Solyc06g062320.4",377.724047360405,0.49881788526361,0.113461371600349,4.39636748814057,1.10077509293297e-05,0.00119189842754913,"Solyc06g062320.4"
"Solyc03g058430.3",157.339155679919,-0.713481125794079,0.162671289032835,-4.38602982761183,1.15438298417944e-05,0.00124259142514703,"Solyc03g058430.3"
"Solyc08g006280.2",33.4847138031734,-2.17511206797798,0.497246241137552,-4.37431575752482,1.2181395346616e-05,0.0013035517745481,"Solyc08g006280.2"
"Solyc05g051460.3",1438.16347735846,0.295123925688014,0.0676146782846247,4.36479079950194,1.27244474045477e-05,0.0013459229078371,"Solyc05g051460.3"
"Solyc09g083370.3",2219.76849571499,-0.314555319318869,0.072058057697268,-4.36530388649089,1.26946151441703e-05,0.0013459229078371,"Solyc09g083370.3"
"Solyc08g150134.1",1544.92141160254,-0.306989983524102,0.0703698180694215,-4.36252347876257,1.28570783067908e-05,0.00135081058219895,"Solyc08g150134.1"
"Solyc10g018540.2",107.491006553204,0.899952644255841,0.206340900459178,4.36148452513846,1.29182934523644e-05,0.00135081058219895,"Solyc10g018540.2"
"Solyc06g073390.3",1341.17540008255,-0.270483106428946,0.0621237357266923,-4.35394142456133,1.33711448282639e-05,0.00139021920007047,"Solyc06g073390.3"
